Institution,CGPA,Slots
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,3.093817248143447,5
UNIVERSITY OF DHAKA,2.9040409151978652,5
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2.5052498808457813,4
BRAC UNIVERSITY,2.3618558544006367,4
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2.2970459794396203,4
ISLAMIC UNIVERSITY OF TECHNOLOGY,2.165154293935858,3
COMILLA UNIVERSITY,2.0457384187875083,3
JAHANGIRNAGAR UNIVERSITY,2.0084887038209502,3
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1.9908215345502651,3
KHULNA UNIVERSITY,1.5926296323022984,2
DAFFODIL INTERNATIONAL UNIVERSITY,1.569554464988935,2
UNIVERSITY OF RAJSHAHI,1.5074352801072304,2
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1.4967678509023172,2
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1.4728345737518997,2
EAST WEST UNIVERSITY,1.4045236365030571,2
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1.4030347938989534,2
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1.3758163343269236,2
ISLAMIC UNIVERSITY,1.2426401659883262,2
UNIVERSITY OF CHITTAGONG,1.157768303285564,2
SYLHET ENGINEERING COLLEGE,1.140156740975359,2
NORTH SOUTH UNIVERSITY,1.0649201428110613,1
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1.0195498044683127,1
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.9062064234857594,1
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0.8471058694840335,1
UNIVERSITY OF BARISAL,0.784006481327368,1
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0.682550468591332,1
LEADING UNIVERSITY,0.6641174028400769,1
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,0.653967926289729,1
INSTITUTE OF SCIENCE AND TECHNOLOGY,0.6431837948750906,1
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,0.6268704859741404,1
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,0.6166419279618175,1
GREEN UNIVERSITY OF BANGLADESH,0.6155905065123916,1
NETROKONA UNIVERSITY,0.6145720747470763,1
SOUTHEAST UNIVERSITY,0.5957890574187884,1
EAST DELTA UNIVERSITY,0.5905813248386137,1
NATIONAL UNIVERSITY,0.5719434293406366,1
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,0.5129183191143902,1
JAGANNATH UNIVERSITY,0.49599693932407296,1
