Institution,Rating
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3234
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2731
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2620
UNIVERSITY OF DHAKA,2464
ISLAMIC UNIVERSITY OF TECHNOLOGY,2367
BRAC UNIVERSITY,2349
UNIVERSITY OF RAJSHAHI,2060
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1910
KHULNA UNIVERSITY,1870
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1868
NORTH SOUTH UNIVERSITY,1857
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1819
JAHANGIRNAGAR UNIVERSITY,1708
GREEN UNIVERSITY OF BANGLADESH,1704
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,1611
COMILLA UNIVERSITY,1598
DAFFODIL INTERNATIONAL UNIVERSITY,1588
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1461
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1379
SYLHET ENGINEERING COLLEGE,1378
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,1376
UNIVERSITY OF CHITTAGONG,1376
LEADING UNIVERSITY,1335
ISLAMIC UNIVERSITY,1155
METROPOLITAN UNIVERSITY,1152
EAST WEST UNIVERSITY,1133
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,1117
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1105
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,1034
UNIVERSITY OF BARISAL,929
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,845
NETROKONA UNIVERSITY,835
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,803
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,789
EASTERN UNIVERSITY,651
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),635
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,587
NATIONAL UNIVERSITY,572
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,564
UNITED INTERNATIONAL UNIVERSITY,559
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,543
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,540
EAST DELTA UNIVERSITY,538
PREMIER UNIVERSITY,519
JAGANNATH UNIVERSITY,504
UNIVERSITY OF ASIA PACIFIC,495
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,475
DHAKA CITY COLLEGE,455
MANARAT INTERNATIONAL UNIVERSITY,436
NORTHERN UNIVERSITY BANGLADESH,435
CITY UNIVERSITY,431
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",396
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,377
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,361
MYMENSINGH ENGINEERING COLLEGE,360
VARENDRA UNIVERSITY,342
SOUTHEAST UNIVERSITY,339
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,330
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,330
KISHOREGANJ UNIVERSITY,320
UTTARA UNIVERSITY,319
PRIME UNIVERSITY,316
DHAKA INTERNATIONAL UNIVERSITY,311
JAMALPUR SCIENCE AND TECHNOLOGY UNIVERSITY,279
NORTH EAST UNIVERSITY BANGLADESH,267
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,258
BGC TRUST UNIVERSITY BANGLADESH,240
SONARGAON UNIVERSITY,239
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,228
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,224
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),222
BANGLADESH UNIVERSITY OF PROFESSIONALS,216
"BEGUM ROKEYA UNIVERSITY, RANGPUR",214
RANGPUR POLYTECHNIC INSTITUTE,201
NOTRE DAME UNIVERSITY BANGLADESH,198
PRESIDENCY UNIVERSITY,194
"INDEPENDENT UNIVERSITY, BANGLADESH",194
PORT CITY INTERNATIONAL UNIVERSITY,186
INSTITUTE OF SCIENCE AND TECHNOLOGY,185
TEJGAON COLLEGE,177
BANGLADESH AGRICULTURAL UNIVERSITY,175
FARIDPUR ENGINEERING COLLEGE,173
FENI UNIVERSITY,131
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,127
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,124
STAMFORD UNIVERSITY BANGLADESH,121
BANGLADESH OPEN UNIVERSITY,119
KHWAJA YUNUS ALI UNIVERSITY,114
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,111
THAKURGAON POLYTECHNIC INSTITUTE,108
DAFFODIL POLYTECHNIC INSTITUTE,102
R. P. SHAHA UNIVERSITY,98
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,95
DAFFODIL INSTITUTE OF IT (DIIT),89
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,83
BANGLADESH UNIVERSITY,82
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,68
WORLD UNIVERSITY OF BANGLADESH,62
CHITTAGONG INDEPENDENT UNIVERSITY,55
SYLHET INTERNATIONAL UNIVERSITY,52
CANADIAN UNIVERSITY OF BANGLADESH,51
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",50
EUROPEAN UNIVERSITY OF BANGLADESH,48
INTERNATIONAL UNIVERSITY OF SCHOLARS,46
"NORTH WESTERN UNIVERSITY, KHULNA",41
RANGPUR ENGINEERING COLLEGE,40
UNIVERSITY OF GLOBAL VILLAGE,37
BANGLADESH UNIVERSITY OF TEXTILES,35
CHATTOGRAM POLYTECHNIC INSTITUTE,32
GONO BISHWABIDYALAY (GONO UNIVERSITY),28
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",20
INTERNATIONAL STANDARD UNIVERSITY,19
UNIVERSITY OF LIBERAL ARTS BANGLADESH,19
TMSS ENGINEERING COLLEGE,17
ASIAN UNIVERSITY OF BANGLADESH,16
FAREAST INTERNATIONAL UNIVERSITY,11
TEESTA UNIVERSITY,9
RTM AL-KABIR TECHNICAL UNIVERSITY,8
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,7
STATE UNIVERSITY OF BANGLADESH,6
SOUTHERN UNIVERSITY BANGLADESH,5
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",5
HAMDARD UNIVERSITY BANGLADESH,4
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,0
HEADWAY ENGINEERING INSTITUTE | SYLHET,0
BRAHMANBARIA POLYTECHNIC INSTITUTE,0
BARISAL INFORMATION TECHNOLOGY COLLEGE,0
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,0
CENTRAL WOMENS UNIVERSITY,0
DAFFODIL INTERNATIONAL COLLEGE,0
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",0
GERMAN UNIVERSITY BANGLADESH,0
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",0
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,0
PABNA ENGINEERING COLLEGE,0
PRIMEASIA UNIVERSITY,0
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,0
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,0
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,0
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,
BANGLADESH DIGITAL UNIVERSITY,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,
"CITY UNIVERSITY, BANGLADESH",
CUMILLA POLYTECHNIC INSTITUTE,
DHAKA RESIDENTIAL MODEL COLLEGE,
DR. SEKANDAR ALI COLLEGE,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,
SIMT ENGINEERING COLLEGE,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,
