Institution,Rating Rank After IUT 2026,Rating Rank After SUST 2026,Rating Rank After DUET 2026,Rating Rank After NSU 2026,Rating Rank After NDUB 2026,Rating Rank After BUET 2026,Rating Rank After ICPC 2025,Rating Rank After CUET 2025,Rating Rank After MU 2025,Rating Rank After UU 2025,Rating Rank After DUET 2025,Rating Rank After AUST 2025,Rating Rank After UIU 2025,Rating Rank After KUET 2025,Rating Rank After ICPC 2024,Rating Rank After BUET 2024,Rating Rank After IUT 2024,Rating Rank After NCPC 2024,Rating Rank After SUST 2024,Rating Rank After CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,2,2,2,3
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,3,3,3,4,4,4,4,4,5,6,5,5,5,5,4,8,11,12,18,10
UNIVERSITY OF DHAKA,4,4,4,3,3,3,3,6,4,3,2,2,2,2,2,2,4,4,6,13
ISLAMIC UNIVERSITY OF TECHNOLOGY,5,5,5,5,5,5,5,3,6,5,6,6,7,7,6,7,5,5,4,6
BRAC UNIVERSITY,6,6,6,6,6,6,6,5,3,4,4,4,4,4,5,5,3,3,3,2
UNIVERSITY OF RAJSHAHI,7,7,8,11,15,18,16,12,15,12,13,16,16,15,15,13,9,7,5,4
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,8,8,10,12,7,11,10,15,12,10,10,12,15,16,18,15,8,11,14,12
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,9,10,12,15,13,10,11,10,8,7,9,8,6,8,8,3,6,6,7,24
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,10,12,13,14,12,15,25,27,25,19,14,17,17,17,17,16,14,14,13,17
GREEN UNIVERSITY OF BANGLADESH,11,14,14,16,18,17,21,16,28,35,32,28,27,24,25,23,43,41,37,45
KHULNA UNIVERSITY,12,9,7,8,9,26,27,23,16,17,15,13,12,12,11,14,16,29,,
NORTH SOUTH UNIVERSITY,13,11,9,9,11,13,13,9,13,14,17,18,19,22,22,17,18,15,15,14
JAHANGIRNAGAR UNIVERSITY,14,13,11,7,10,7,7,8,7,8,7,7,9,9,9,6,7,8,12,15
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,15,18,22,23,21,16,14,13,17,16,16,15,14,14,14,9,12,9,11,8
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,16,15,16,18,20,14,15,19,26,21,23,26,25,27,26,19,13,10,9,7
DAFFODIL INTERNATIONAL UNIVERSITY,17,17,17,13,14,8,9,7,9,15,11,10,11,11,12,20,28,34,29,34
COMILLA UNIVERSITY,18,16,15,10,8,9,8,11,14,11,8,9,8,6,7,12,10,16,16,22
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,19,21,23,20,19,12,12,14,18,24,26,24,28,33,33,27,36,28,36,
SYLHET ENGINEERING COLLEGE,20,20,21,19,16,20,20,22,22,25,21,20,20,19,19,25,22,20,19,11
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,21,19,20,22,24,24,23,24,24,20,19,22,22,21,21,28,26,23,26,33
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,22,27,27,28,28,29,28,26,30,29,27,31,31,29,31,29,32,49,44,28
UNIVERSITY OF CHITTAGONG,23,22,18,21,23,19,17,29,23,23,20,19,21,20,20,41,31,25,28,19
LEADING UNIVERSITY,24,23,19,17,17,23,24,20,21,18,24,29,24,25,24,21,27,33,31,23
EAST WEST UNIVERSITY,25,26,26,26,27,25,18,17,11,9,12,14,13,13,13,11,15,13,8,5
METROPOLITAN UNIVERSITY,26,25,25,25,26,21,22,28,27,26,33,38,39,45,46,44,34,27,27,20
