Institution,CGPA After DUET 2025,CGPA After AUST 2025,CGPA After UIU 2025,CGPA After KUET 2025,CGPA After ICPC 2024,CGPA After BUET 2024,CGPA After IUT 2024,CGPA After NCPC 2024,CGPA After SUST 2024,CGPA After CUET 2024
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,3.0281117797837984,3.0837156170817988,3.1160847512026777,3.1431645592550157,3.1818220659572445,3.2009724897323237,3.140089353648545,3.125534791325141,3.1028011006273197,2.8504600672739917
UNIVERSITY OF DHAKA,2.9310067615637965,3.0044193334097224,3.00269515246754,2.995010560639863,3.0021036035552617,2.8149380542720164,2.5545151086017794,2.461221933993783,2.098213992907643,1.668195874343581
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,2.6114438950199523,2.473435483333079,2.4303512249082777,2.41082954593095,2.3596140548385662,2.47388019708753,2.613927462791173,2.820841103759515,2.865255531348109,2.8024634448016474
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2.370995618796544,2.4050060657770707,2.3967435199122504,2.38451078649612,2.4233806479703945,2.1498205285240726,1.8056386787748087,1.6323068673417194,1.4028382420800778,1.8809675604066503
BRAC UNIVERSITY,2.332086822777221,2.294904025600445,2.3245082692442067,2.294064965699061,2.2310939552445586,2.355340672094283,2.602979479727279,2.577596706670994,2.779350724189315,2.8275228714075604
ISLAMIC UNIVERSITY OF TECHNOLOGY,2.2287278731346785,2.175257089025828,2.1857780911912306,2.159660543723209,2.2180349816087856,2.1746811161682023,2.1380272198646693,2.1743810430951136,2.16724967661293,1.941101789995723
COMILLA UNIVERSITY,2.054630141634187,2.1120462068522827,2.1784077238416257,2.217279985260945,2.1965649548702237,1.9750814156982615,1.8476066963056,1.4875410630163453,1.5778513699236811,0.906243376592885
JAHANGIRNAGAR UNIVERSITY,1.9928942211086151,2.0020020095476583,2.009495181478185,2.0068687507835707,2.0037323794013417,2.2361339566248533,2.0375616395995086,1.9177208888532766,1.709634066991755,1.4721206876924842
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1.8644017812381197,1.9536067091776628,2.033017258270024,1.963560553248777,1.98197896630105,2.508285558587051,2.0843523208082546,2.1020165977310072,1.967873750352303,0.866987030450075
DAFFODIL INTERNATIONAL UNIVERSITY,1.6962387582978045,1.712793008343049,1.738738441867067,1.7562398106102302,1.7417665914361393,1.3126503424151335,0.8196720763219673,0.6269494291961533,0.7092780419606642,0.4587301453431962
KHULNA UNIVERSITY,1.5395552582745304,1.6036494189844337,1.6591678737592852,1.6764616941863506,1.6604022791356745,1.6345031431875578,1.4604964489007515,0.7250074828349706,0.0,0.0
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1.5278750681301636,1.3834596848403573,1.3088777632669797,1.2686928344801873,1.2297011784708762,1.6148900543354954,1.920632799485466,1.6691975637236736,1.657311114138421,1.7792621343295185
UNIVERSITY OF RAJSHAHI,1.4944926061078956,1.3443311134682765,1.370487329254884,1.3884766197751757,1.4275584693707992,1.7085441939768502,1.9131762366359613,2.0460272058830293,2.1530082085033,2.672889623431341
EAST WEST UNIVERSITY,1.467804544871952,1.299100160936307,1.402439215483376,1.3825566810151177,1.3866976565406528,2.032921562021297,1.4701601399926525,1.6228710643612656,1.9089102682203813,2.1860052770637655
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1.4362018196776003,1.3499001431084465,1.3507572596700719,1.3507572596700719,1.3864481365207948,1.391586079360136,1.6133272623748391,1.557095144244533,1.703325928201086,1.3690812734085187
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1.3254682991060407,1.4377586246975607,1.5529233965128386,1.5529233965128386,1.4434225883096328,2.1107790214856634,1.4262107871229859,1.179694864603166,1.2553518825506365,0.9304065735552142
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1.2800935089714895,1.2025875237060857,1.2885961994169823,1.225722476415476,1.2439046096903104,2.1138136218141064,1.7214761507059246,1.816365742237288,1.8622745507735186,1.8946294753953974
UNIVERSITY OF CHITTAGONG,1.2479954812956462,1.2629147028553998,1.230949286506938,1.2253792825524858,1.2219155651377083,0.5352444066731377,0.6806704512129936,0.8007367262311469,0.8121669504785978,1.0087149729401048
ISLAMIC UNIVERSITY,1.226002573408806,1.2953362719495172,1.3418935174546498,1.397304188095804,1.4457237762687116,1.183142397933201,0.8693941029484907,0.9113938478444406,1.235418489804299,0.0
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1.1976029804704846,1.0660906766350786,1.056904539367849,1.0108990905601498,1.027291393895753,0.8934590600944683,0.8660699551558314,0.9159075795353969,0.8444486107661225,0.4732225732749345
NORTH SOUTH UNIVERSITY,1.1500101006735153,0.9596821108593591,0.9336343445591863,0.7557731714253993,0.7116666131184654,1.3347450269967884,1.3314999728325225,1.5081872529992073,1.6380510250029876,1.4946169732776888
SYLHET ENGINEERING COLLEGE,1.1470671859906452,1.1389013554115335,1.156890022846755,1.1732525811214942,1.1450451380943525,0.9915739445606557,1.041332566489664,1.1707213730629007,1.368147901945649,1.853694215618754
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,0.8074840949157985,0.6542885415106869,0.6178050306874195,0.5322526155303205,0.48665609891586775,0.7188272103947262,0.8161804129522294,0.7661226107257753,0.9120511080537261,0.44480945663706156
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.7988760061023653,0.532137693523857,0.5951545193937224,0.5433704055533719,0.5408172735972203,1.313258682296453,1.663433298045331,1.6967895239967785,1.9018469963669584,1.929504289201391
LEADING UNIVERSITY,0.7794726831918805,0.5452237646617238,0.6217955575094524,0.6217955575094524,0.6082193639821961,1.2028785132471544,0.8464463937999845,0.642126054126492,0.6975489053291105,0.8935624732424277
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,0.7512587521186882,0.5843444790464009,0.5506462838665521,0.44750745604933795,0.43464265216011627,0.9849978464202603,0.61859273346697,0.7338908283412916,0.5836157442251394,0.0
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,0.7474645535889307,0.75865895368358,0.7726821941001597,0.7726821941001597,0.769051284346604,0.6010862008939712,0.46562197851626136,0.5292513927508957,0.6327362213209304,0.0
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,0.7206051870308358,0.6873095055604987,0.701188308553248,0.7010340140203964,0.7180683024909714,0.6940075536492328,0.4682278736464127,0.48397122036566814,0.5838212201407865,0.3252015384306877
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,0.7181356764042741,0.6716829445692833,0.717531375580385,0.7158944940175662,0.6900743832361316,1.0328481164116234,1.309553518348599,1.3026402607252068,1.5369248334250851,1.4377189574148137
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,0.7115904093959768,0.5993691026285719,0.6298668385781209,0.6298668385781209,0.621849097032852,0.878202992135658,0.649886728826699,0.40016257331950006,0.48075990101099175,0.5725220271046715
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),0.6888359484502249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY OF BARISAL,0.6757714087007872,0.7033241633733339,0.7279353894409877,0.7279353894409877,0.7520577397755254,0.8128026616496211,1.1808651449092158,1.104244475600119,1.3351104352787295,0.44028225718807235
NETROKONA UNIVERSITY,0.6428677857741005,0.6701027700366109,0.6830239922124258,0.7058427799852549,0.7344561981343716,0.2929772399340759,0.2929772399340759,0.3639024488412629,0.44525444926091146,0.5842061501068075
EAST DELTA UNIVERSITY,0.6072475340848356,0.5902405619158086,0.5925448497736364,0.6004518426772745,0.5972682683788941,0.5834540278253716,0.544927287021283,0.5813097537563944,0.6881838158809682,0.7602099106013835
GREEN UNIVERSITY OF BANGLADESH,0.5876761891807237,0.5906336550761783,0.6460550308349677,0.6609691593504202,0.6314612210242786,1.1519586084394065,0.480242584505052,0.48154044234807386,0.5793305456537481,0.21641409802868852
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,0.574694884070332,0.48390134765769544,0.3453669194188954,0.35437168907284433,0.36681346478684007,0.7575690737619922,0.5704614926503555,0.6749052770849541,0.23026084536015112,0.0
NATIONAL UNIVERSITY,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.5719434293406366,0.0
METROPOLITAN UNIVERSITY,0.49909761246523965,0.3931281123908611,0.38282404262896297,0.2718116579942801,0.24271397531626943,0.47334299319373,0.6292422313104148,0.7521992819669329,0.8289844617331442,0.9885406734813026
SOUTHEAST UNIVERSITY,0.498241425183159,0.54220145985607,0.6582219469154384,0.6582219469154384,0.6564619553081308,1.3170974985003379,0.3487584159496501,0.3680902046297651,0.13574998121434703,0.0
"BEGUM ROKEYA UNIVERSITY, RANGPUR",0.4623750244249697,0.46117493170716484,0.47436099925432057,0.4831251255640503,0.5018745242409368,0.4742831402918111,0.5007517164948337,0.47921389498083905,0.3216049462174204,0.23462876041676087
INSTITUTE OF SCIENCE AND TECHNOLOGY,0.46066686092585934,0.45597981389186537,0.4612594021631013,0.4747047085836177,0.4911996540206952,0.7585411528967371,1.0390060024041028,1.3451788800351816,1.8915247098150552,1.8915247098150552
UNITED INTERNATIONAL UNIVERSITY,0.4097370236355477,0.36107510599179016,0.38404170992076064,0.3651804383536071,0.2618130460677248,0.5823529991870461,0.6971964313034117,0.7028324004474402,0.8577619795121701,0.8410138513159869
JAGANNATH UNIVERSITY,0.39659713799314106,0.38162062690841103,0.4351191753891619,0.4174026350538223,0.41971506104773304,0.9866364508139623,0.9024395454701384,0.17304248900840036,0.0,0.0
DHAKA CITY COLLEGE,0.37608578006887455,0.3141074621680775,0.30986828108038705,0.30986828108038705,0.33440036573148496,0.4084309762222611,0.5814584444308633,0.5425580693687759,0.31847573862340334,0.1956212039288454
PORT CITY INTERNATIONAL UNIVERSITY,0.3590062260978111,0.38652440327268534,0.400740347047552,0.4113549100419591,0.4287056285642709,0.3245502545517642,0.3245502545517642,0.3818483307864733,0.5388531517346998,0.5388531517346998
UNIVERSITY OF ASIA PACIFIC,0.33590660628107266,0.3360670727106624,0.3478003686914688,0.3293669321672832,0.34197127473327354,0.5436937346995191,0.456276205889951,0.47295847239673405,0.5431776505927294,0.2492889446752213
BANGLADESH UNIVERSITY OF PROFESSIONALS,0.306857247985156,0.331459845234498,0.34120823281313317,0.12411014629523841,0.1241279543760437,0.2617507361012893,0.2617507361012893,0.26389915477650616,0.3225868373610196,0.1917087798502685
PREMIER UNIVERSITY,0.29956346287461655,0.20579428501579897,0.19600642718105216,0.19600642718105216,0.2059895648509861,0.36327444253502783,0.3632744425350278,0.4113831229961698,0.5498501548313265,0.5498501548313265
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,0.28652977713629324,0.28652977713629324,0.28988962003333385,0.28988962003333385,0.289524735740147,0.39727960127497935,0.39727960127497924,0.4383700746966362,0.5610715865625779,0.5610715865625779
PRIME UNIVERSITY,0.2814239428664186,0.21451956274645617,0.08926535748564737,0.0797114451746043,0.07998125388458736,0.3473738303603119,0.34737383036031183,0.22993618520842563,0.22993618520842563,0.22993618520842563
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,0.28121242972684607,0.16792250845128082,0.13642093989729062,0.13642093989729062,0.13572198613206998,0.32583788247147494,0.234665242419596,0.14764986488605153,0.19961347339678104,0.19961347339678104
DHAKA INTERNATIONAL UNIVERSITY,0.2583251551144479,0.24515110109454877,0.2406486269604728,0.047425097647423024,0.03340005921582,0.18123785729114678,0.18123785729114678,0.0,0.0,0.0
BANGABANDHU SHEIKH MUJIBUR RAHMAN SCIENCE AND TECHNOLOGY UNIVERSITY,0.2323608585252533,0.23236085852525326,0.2686867246911883,0.2686867246911883,0.2598441195490654,0.7026953305646552,0.6434360406635902,0.6434360406635902,0.0,0.0
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.23033245551433446,0.23450765363313966,0.24006104117644428,0.2291740614484419,0.1046059197990201,0.14213876581783808,0.14213876581783808,0.05767768978518682,0.0,0.0
VARENDRA UNIVERSITY,0.21568847272654326,0.17268717580721887,0.13996990443107318,0.13996990443107318,0.1392922527412621,0.30417953980985674,0.3041795398098568,0.3041795398098568,0.4224197453720488,0.0
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,0.1989606293797287,0.05494316758758872,0.05831118745115781,0.038763455649366556,0.03408169307736734,0.18493658907259874,0.18493658907259874,0.0,0.0,0.0
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,0.19885850422586235,0.028601368747154073,0.03100402891995462,0.03100402891995462,0.03100402891995462,0.13303498159006014,0.1330349815900601,0.1330349815900601,0.1330349815900601,0.0
FENI UNIVERSITY,0.19258751608060676,0.181894043004762,0.1730760849509051,0.1775082705575531,0.1775082705575531,0.5039614321835741,1.1387070597776796,1.1387070597776796,1.1387070597776796,1.1387070597776796
NORTH EAST UNIVERSITY BANGLADESH,0.19003414049044218,0.17320186060884166,0.18404834054969543,0.13155160686269116,0.13684099293780094,0.2861568938150091,0.2833036570523269,0.33422794565654285,0.4062892571576907,0.5175145669260057
R. P. SHAHA UNIVERSITY,0.18799671107560098,0.20227180099555692,0.20231053175236474,0.19754088681397947,0.15685490050055495,0.13556098380723042,0.13556098380723042,0.15429412829746336,0.20784409974675244,0.20784409974675244
"INDEPENDENT UNIVERSITY, BANGLADESH",0.1870860840432529,0.18409045020954146,0.19894463022569608,0.13048424111536988,0.13355891571763295,0.3388031489240258,0.46542676875041017,0.4461078843562565,0.5077223617344687,0.21208581606811475
KISHOREGANJ UNIVERSITY,0.18332797893005695,0.153500702003815,0.17364419407466844,0.1500651561043979,0.14989634992694173,0.3594630309617996,0.3191824423716488,0.3226522881430785,0.39128943947011346,0.24430316578171685
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,0.1716451315974374,0.14122089318033268,0.16012447578198868,0.15183690900211558,0.15534350214972367,0.4098606065968899,0.5414843677535863,0.5978902345173552,0.707193817634318,0.41439013820735615
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.16317093391740314,0.07564017129617749,0.07993707292886426,0.05222576445498539,0.05222576445498539,0.23567305688657564,0.23567305688657564,0.0,0.0,0.0
FARIDPUR ENGINEERING COLLEGE,0.14959543717088813,0.14959543717088813,0.14959543717088813,0.14959543717088813,0.1470268031248483,0.030736748158852394,0.03073674815885239,0.03073674815885239,0.0,0.0
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.1400697730402718,0.05921365071896341,0.05921365071896341,0.04350290516444153,0.04350290516444153,0.0,0.0,0.0,0.0,0.0
