Institution,Rank After ICPC 2025,Rank After CUET 2025,Rank After MU 2025,Rank After UU 2025,Rank After DUET 2025,Rank After AUST 2025,Rank After UIU 2025,Rank After KUET 2025,Rank After ICPC 2024,Rank After BUET 2024,Rank After IUT 2024,Rank After NCPC 2024,Rank After SUST 2024,Rank After CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,1,1,1,3,3,3,3,3,4,2,2,2,3
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2,2,2,2,1,1,1,1,1,1,1,1,1,1
UNIVERSITY OF DHAKA,3,6,4,3,2,2,2,2,2,2,4,4,6,13
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,4,5,6,5,5,5,5,4,8,11,12,18,10
ISLAMIC UNIVERSITY OF TECHNOLOGY,5,3,6,5,6,6,7,7,6,7,5,5,4,6
BRAC UNIVERSITY,6,5,3,4,4,4,4,4,5,5,3,3,3,2
JAHANGIRNAGAR UNIVERSITY,7,8,7,8,7,7,9,9,9,6,7,8,12,15
COMILLA UNIVERSITY,8,11,14,11,8,9,8,6,7,12,10,16,16,22
DAFFODIL INTERNATIONAL UNIVERSITY,9,7,9,15,11,10,11,11,12,20,28,34,29,34
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,10,15,12,10,10,12,15,16,18,15,8,11,14,12
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,11,10,8,7,9,8,6,8,8,3,6,6,7,24
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,12,14,18,24,26,24,28,33,33,27,36,28,36,
NORTH SOUTH UNIVERSITY,13,9,13,14,17,18,19,22,22,17,18,15,15,14
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,14,13,17,16,16,15,14,14,14,9,12,9,11,8
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,15,19,26,21,23,26,25,27,26,19,13,10,9,7
UNIVERSITY OF RAJSHAHI,16,12,15,12,13,16,16,15,15,13,9,7,5,4
UNIVERSITY OF CHITTAGONG,17,29,23,23,20,19,21,20,20,41,31,25,28,19
EAST WEST UNIVERSITY,18,17,11,9,12,14,13,13,13,11,15,13,8,5
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,19,21,20,30,28,25,26,26,27,24,19,18,17,16
SYLHET ENGINEERING COLLEGE,20,22,22,25,21,20,20,19,19,25,22,20,19,11
GREEN UNIVERSITY OF BANGLADESH,21,16,28,35,32,28,27,24,25,23,43,41,37,45
METROPOLITAN UNIVERSITY,22,28,27,26,33,38,39,45,46,44,34,27,27,20
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,23,24,24,20,19,22,22,21,21,28,26,23,26,33
LEADING UNIVERSITY,24,20,21,18,24,29,24,25,24,21,27,33,31,23
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,25,27,25,19,14,17,17,17,17,16,14,14,13,17
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,26,18,10,13,18,11,10,10,10,10,17,19,21,21
KHULNA UNIVERSITY,27,23,16,17,15,13,12,12,11,14,16,29,,
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,28,26,30,29,27,31,31,29,31,29,32,49,44,28
UNIVERSITY OF BARISAL,29,25,19,22,35,33,32,30,28,30,20,22,20,36
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,30,33,31,31,31,27,30,28,29,36,45,39,33,
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,31,31,34,34,29,32,33,31,30,35,44,40,35,39
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,32,38,36,36,30,34,43,40,39,32,39,31,53,
ISLAMIC UNIVERSITY,33,32,29,27,22,21,18,18,16,22,25,24,22,
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,34,36,35,28,25,23,29,34,38,33,29,26,24,35
EAST DELTA UNIVERSITY,35,30,32,32,34,35,35,35,35,37,40,36,32,26
NATIONAL UNIVERSITY,36,40,39,39,37,36,37,36,36,39,38,37,38,
NETROKONA UNIVERSITY,37,35,33,37,38,37,34,32,32,58,57,52,45,27
UNITED INTERNATIONAL UNIVERSITY,38,37,38,41,39,41,38,39,44,38,30,30,25,25
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,39,34,37,33,52,48,48,46,64,74,73,69,,
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,40,44,41,54,55,74,73,82,79,70,70,,,
JAGANNATH UNIVERSITY,41,39,40,38,41,39,36,37,34,26,24,59,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,42,42,56,53,53,51,49,47,47,48,48,45,39,29
UNIVERSITY OF ASIA PACIFIC,43,43,44,47,47,44,44,44,42,40,47,43,41,41
EASTERN UNIVERSITY OF BANGLADESH,44,109,109,109,109,107,106,105,104,,,,,
PREMIER UNIVERSITY,45,41,50,48,49,58,59,55,50,50,50,47,40,30
SONARGAON UNIVERSITY,46,73,69,69,67,79,79,76,74,80,79,70,,
KISHOREGANJ UNIVERSITY,47,45,62,61,60,59,55,52,52,51,54,54,49,42
SOUTHEAST UNIVERSITY,48,47,42,40,36,30,23,23,23,18,51,51,61,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),49,46,43,42,42,46,45,42,43,34,33,32,,
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,50,50,48,49,46,54,58,54,53,54,63,63,58,48
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,51,60,61,59,61,67,69,72,70,64,62,,,
CITY UNIVERSITY,52,52,49,89,91,86,87,85,89,,,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,53,53,46,46,40,40,40,38,37,31,23,17,10,9
VARENDRA UNIVERSITY,54,59,58,56,56,57,61,58,57,56,55,55,46,
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,55,61,66,62,65,60,60,101,100,,,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",56,48,45,43,43,43,42,41,40,43,42,42,51,43
NORTH EAST UNIVERSITY BANGLADESH,57,51,51,57,59,56,53,57,55,59,58,53,47,32
DHAKA INTERNATIONAL UNIVERSITY,58,56,54,51,50,45,47,73,80,71,71,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,59,57,57,58,63,61,57,53,51,46,41,35,30,37
PRIME UNIVERSITY,60,54,52,52,48,50,65,64,62,52,52,57,54,44
DHAKA CITY COLLEGE,61,49,47,45,44,49,50,48,45,47,37,38,52,49
BANGLADESH UNIVERSITY OF PROFESSIONALS,62,55,55,44,45,42,41,61,59,61,59,56,50,50
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,63,58,53,50,54,93,90,88,85,77,76,65,62,
PRESIDENCY UNIVERSITY,64,74,71,71,69,107,106,105,104,,,,,
FENI UNIVERSITY,65,64,59,64,58,52,52,49,48,42,21,21,23,18
BGC TRUST UNIVERSITY BANGLADESH,66,103,103,103,103,101,100,98,96,83,82,73,,
PORT CITY INTERNATIONAL UNIVERSITY,67,72,60,55,51,47,46,43,41,55,53,50,42,31
UTTARA UNIVERSITY,68,65,75,73,76,66,67,68,68,63,61,,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),69,91,90,91,89,75,75,71,71,81,80,71,,
"INDEPENDENT UNIVERSITY, BANGLADESH",70,63,63,60,57,53,51,56,54,53,46,44,43,46
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,71,78,81,78,81,69,66,62,61,60,,,,
BANGLADESH AGRICULTURAL UNIVERSITY,72,71,77,74,75,84,84,83,95,85,84,,,
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,73,76,72,76,73,65,70,66,66,62,60,58,59,52
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,74,79,82,79,82,70,68,63,63,57,56,48,48,38
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,75,62,64,63,62,62,56,51,49,45,35,67,,
FARIDPUR ENGINEERING COLLEGE,76,77,76,75,74,63,62,60,60,84,83,74,,
R. P. SHAHA UNIVERSITY,77,66,65,65,64,55,54,50,56,76,75,62,56,47
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,78,75,74,72,70,64,63,65,65,67,67,60,55,40
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,79,67,67,66,66,76,76,87,84,,,,,
MYMENSINGH ENGINEERING COLLEGE,80,68,68,67,68,98,95,94,88,75,74,64,60,
DAFFODIL INSTITUTE OF IT (DIIT),81,69,70,68,71,100,99,97,94,82,81,72,,
TEJGAON COLLEGE,82,70,73,70,72,94,93,91,86,79,78,68,,
INTERNATIONAL UNIVERSITY OF SCHOLARS,83,101,101,101,101,95,96,95,92,,,,,
KHWAJA YUNUS ALI UNIVERSITY,84,81,80,83,84,89,89,89,104,,,,,
BANGLADESH UNIVERSITY,85,80,79,82,80,78,91,105,104,85,84,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,86,84,78,77,78,71,71,67,67,73,65,61,57,51
SYLHET INTERNATIONAL UNIVERSITY,87,86,89,80,77,68,64,59,58,49,49,46,34,
WORLD UNIVERSITY OF BANGLADESH,88,109,109,109,109,107,106,105,104,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,89,85,85,84,79,99,94,93,91,78,77,66,63,
