Institution,Rating,ICPC 2025 Point,CUET 2025 Point,MU 2025 Point,UU 2025 Point,DUET 2025 Point,AUST 2025 Point,UIU 2025 Point,KUET 2025 Point,ICPC 2024 Point,BUET 2024 Point,IUT 2024 Point,NCPC 2024 Point,SUST 2024 Point,CUET 2024 Point
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,3105,3170,3210,2956,3454,3344,2916,2651,2954,2342,2306,1976,2730,2927,2802
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2811,2923,2615,2600,2661,2708,2728,2775,2686,3180,3268,3062,3171,3336,2850
UNIVERSITY OF DHAKA,2661,3057,2203,1388,2369,2373,2875,3092,2925,3037,3082,2508,3061,2454,1668
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,2297,2250,2407,2489,2003,2141,2404,2537,1846,2467,2481,2274,2014,631,1881
ISLAMIC UNIVERSITY OF TECHNOLOGY,2210,1990,2741,2041,2475,2658,2019,2474,1369,2231,2215,1936,2189,2372,1941
BRAC UNIVERSITY,2102,1767,1880,2337,2659,2713,1936,2659,2879,2209,2040,2776,2117,2730,2828
JAHANGIRNAGAR UNIVERSITY,1968,2081,,1498,1931,1878,2098,2040,2080,1943,2441,2169,2278,1918,1472
COMILLA UNIVERSITY,1801,1969,1895,1098,1197,2001,829,1649,2339,2243,2110,2425,1288,2039,906
DAFFODIL INTERNATIONAL UNIVERSITY,1735,1341,2423,2102,1670,1817,1081,1516,1799,1819,1705,1143,416,892,459
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1701,1823,1530,790,2260,2068,2232,1715,1689,1125,1179,2484,1693,1526,1779
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,1567,1440,930,1022,2639,1272,1275,2724,1813,1848,2913,1597,2347,2645,867
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,1484,1306,1966,1859,1578,1372,1144,1227,630,148,1236,266,858,584,
NORTH SOUTH UNIVERSITY,1437,1151,1627,,2150,1961,1465,2105,1185,495,1338,685,1207,1770,1495
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,1405,1085,1920,996,2005,1784,1086,1880,1100,941,2483,1493,1721,1829,1895
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,1345,1244,2004,872,1590,1804,601,1026,692,59,741,1688,1185,1874,1930
UNIVERSITY OF RAJSHAHI,1314,772,1583,1123,2254,2370,1306,1136,952,1353,1444,1899,1813,1458,2673
UNIVERSITY OF CHITTAGONG,1305,1555,407,,1152,1145,1272,1295,1213,1327,295,415,777,549,1009
EAST WEST UNIVERSITY,1239,757,815,720,2548,2514,689,1620,1267,1187,2521,1375,783,1584,2186
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,1219,1087,1344,1784,,1043,289,737,944,608,580,1387,605,1630,1438
SYLHET ENGINEERING COLLEGE,1202,1072,1506,1432,865,1335,814,942,1398,1172,932,1120,607,555,1854
GREEN UNIVERSITY OF BANGLADESH,1171,290,2381,1611,808,530,638,432,894,428,1601,383,156,790,216
METROPOLITAN UNIVERSITY,1143,1235,772,949,2033,962,533,1004,522,158,174,375,568,630,989
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,1123,920,1497,1071,868,1949,1037,1498,815,1058,923,503,1044,1096,473
LEADING UNIVERSITY,1067,588,1460,690,2177,1693,566,,744,335,1507,1290,514,418,894
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,1040,1001,1094,834,191,1867,,,838,1396,1089,1679,1213,1982,1369
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,1024,79,512,,2404,489,583,,2413,1235,2680,1857,1012,1512,930
KHULNA UNIVERSITY,993,608,814,,1468,1286,814,1446,1750,1665,1736,1934,725,,
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,911,538,1591,992,731,1201,,,674,540,1079,1081,135,367,573
UNIVERSITY OF BARISAL,876,356,731,,2360,479,318,,297,768,256,,305,1836,440
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,783,,653,,1063,777,481,,,799,706,300,400,633,
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,770,694,859,950,716,981,538,703,401,724,882,353,145,759,325
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,746,776,,,,598,1380,214,360,195,900,256,926,230,
ISLAMIC UNIVERSITY,702,559,111,690,1133,912,328,170,461,1494,1418,779,367,1235,
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,673,603,408,353,776,1441,1044,1244,876,435,590,836,312,1211,445
EAST DELTA UNIVERSITY,645,377,912,,1106,703,,502,,600,613,,258,608,760
NATIONAL UNIVERSITY,572,,,,,,,,,,,,,572,
NETROKONA UNIVERSITY,569,223,451,972,1020,541,386,350,133,767,,240,28,235,584
UNITED INTERNATIONAL UNIVERSITY,516,156,654,934,299,675,288,561,910,124,417,748,102,874,841
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,509,143,,520,1327,,149,334,668,101,,193,58,,
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,503,490,,763,188,519,,152,68,0,,185,,,
JAGANNATH UNIVERSITY,496,413,,,761,469,455,602,366,178,1036,1264,173,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,413,341,602,,,,,,,282,,,264,,561
UNIVERSITY OF ASIA PACIFIC,401,74,691,550,507,271,399,519,108,285,628,313,285,727,249
EASTERN UNIVERSITY OF BANGLADESH,366,384,,,,,,,,0,,,,,
PREMIER UNIVERSITY,343,18,662,,,620,321,,0,194,,,190,,550
SONARGAON UNIVERSITY,323,362,,,156,306,,,,69,,,57,,
KISHOREGANJ UNIVERSITY,323,38,688,,,319,162,347,144,26,400,277,78,497,244
SOUTHEAST UNIVERSITY,309,14,331,,177,240,242,,,377,1807,306,503,136,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),301,55,449,,,689,,,410,72,720,,643,,
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,286,85,,482,271,586,442,,,28,384,339,61,,200
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,258,,,,,382,,201,,30,,236,,,
CITY UNIVERSITY,255,49,294,530,,107,,,84,34,,,,,
INSTITUTE OF SCIENCE AND TECHNOLOGY,250,82,192,,166,367,679,257,166,417,408,844,203,,1892
VARENDRA UNIVERSITY,246,237,,,,313,370,,,129,,,81,422,
BANGABANDHU SHEIKH MUJIBUR RAHMAN DIGITAL UNIVERSITY,243,,,,,,,400,,11,,,,,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",240,9,,,,552,179,354,255,507,443,478,694,390,235
NORTH EAST UNIVERSITY BANGLADESH,237,10,,459,,277,,480,0,67,289,261,71,250,518
DHAKA INTERNATIONAL UNIVERSITY,234,22,288,326,180,325,285,795,113,0,,181,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,228,131,312,,417,255,168,237,134,50,164,217,269,910,414
PRIME UNIVERSITY,223,126,,,306,353,707,158,77,11,,399,,,230
DHAKA CITY COLLEGE,216,53,,,,635,,,91,319,167,,825,406,196
BANGLADESH UNIVERSITY OF PROFESSIONALS,210,4,,0,,105,152,1101,115,106,,226,28,414,192
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,194,90,107,,390,489,,,,25,,,,133,
PRESIDENCY UNIVERSITY,190,,,,160,300,,,,0,,,,,
FENI UNIVERSITY,173,11,184,288,184,0,427,119,,49,262,,,,1139
BGC TRUST UNIVERSITY BANGLADESH,173,182,,,,,,,,10,,,34,,
PORT CITY INTERNATIONAL UNIVERSITY,162,117,174,0,,170,182,267,87,434,,,35,,539
UTTARA UNIVERSITY,158,6,300,,242,100,165,223,111,41,,245,,,
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),146,152,,,,,,,,79,,,36,,
"INDEPENDENT UNIVERSITY, BANGLADESH",137,30,,,147,,93,533,,43,0,441,285,686,212
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,137,140,,,,,,,102,9,267,,,,
BANGLADESH AGRICULTURAL UNIVERSITY,131,10,240,,163,236,,,118,21,,0,,,
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,128,12,177,218,0,181,303,86,100,0,,281,,,182
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,124,,,,,,,,,61,,209,,,406
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,117,7,,,,288,,,80,21,171,879,110,,
FARIDPUR ENGINEERING COLLEGE,113,105,,,,,,,163,149,,,31,,
